chapitre,niveau,niveau_global,repere,x,y,situation,profondeur_impasse,distance_repere
1,1,1,K01,17,1,impasse,2,11
1,1,1,K02,3,9,impasse,2,15
1,1,1,K03,7,9,impasse,2,10
1,1,1,K04,29,17,impasse,2,6
1,1,1,K05,33,21,impasse,8,9
1,1,1,K06,11,25,impasse,4,16
1,1,1,K07,23,25,impasse,4,19
1,1,1,K08,5,31,impasse,4,15
1,1,1,K09,13,31,impasse,2,10
1,1,1,K10,25,31,impasse,4,19
1,2,2,K01,15,1,impasse,2,16
1,2,2,K02,31,3,impasse,6,12
1,2,2,K03,9,7,impasse,4,8
1,2,2,K04,13,9,impasse,2,6
1,2,2,K05,9,15,impasse,2,14
1,2,2,K06,21,15,impasse,6,8
1,2,2,K07,27,17,impasse,4,10
1,2,2,K08,5,27,impasse,8,14
1,2,2,K09,7,31,impasse,2,8
1,2,2,K10,25,33,impasse,2,8
1,3,3,K01,13,1,impasse,6,14
1,3,3,K02,3,3,impasse,4,16
1,3,3,K03,7,3,impasse,12,22
1,3,3,K04,25,3,impasse,8,10
1,3,3,K05,23,7,impasse,4,14
1,3,3,K06,25,13,impasse,12,16
1,3,3,K07,5,17,impasse,4,20
1,3,3,K08,11,25,impasse,14,26
1,3,3,K09,7,27,impasse,14,16
1,3,3,K10,25,31,impasse,2,14
1,4,4,K01,7,1,impasse,18,26
1,4,4,K02,23,3,impasse,6,20
1,4,4,K03,21,9,impasse,2,16
1,4,4,K04,27,13,impasse,4,6
1,4,4,K05,11,17,impasse,2,16
1,4,4,K06,23,17,impasse,4,8
1,4,4,K07,21,25,impasse,4,24
1,4,4,K08,15,27,impasse,2,28
1,4,4,K09,23,29,impasse,2,14
1,4,4,K10,25,33,impasse,4,8
1,5,5,K01,15,7,impasse,4,8
1,5,5,K02,29,9,impasse,2,20
1,5,5,K03,7,15,impasse,2,24
1,5,5,K04,1,17,impasse,6,28
1,5,5,K05,11,17,impasse,2,8
1,5,5,K06,33,19,impasse,4,22
1,5,5,K07,3,21,impasse,2,26
1,5,5,K08,9,21,impasse,8,32
1,5,5,K09,21,25,impasse,2,20
1,5,5,K10,7,31,impasse,4,22
2,1,6,K01,13,1,impasse,14,16
2,1,6,K02,3,3,impasse,4,14
2,1,6,K03,1,7,impasse,6,12
2,1,6,K04,11,9,impasse,8,16
2,1,6,K05,29,11,impasse,8,12
2,1,6,K06,27,17,impasse,6,26
2,1,6,K07,7,21,impasse,6,18
2,1,6,K08,33,21,impasse,6,28
2,1,6,K09,25,23,impasse,2,24
2,1,6,K10,7,31,impasse,6,12
2,2,7,K01,3,3,impasse,10,16
2,2,7,K02,29,5,impasse,2,8
2,2,7,K03,25,7,impasse,8,20
2,2,7,K04,27,9,impasse,2,8
2,2,7,K05,23,21,impasse,8,10
2,2,7,K06,15,25,impasse,16,38
2,2,7,K07,5,27,impasse,4,26
2,2,7,K08,23,27,impasse,10,28
2,2,7,K09,29,27,impasse,2,10
2,2,7,K10,27,33,impasse,6,14
2,3,8,K01,17,1,recoin,0,36
2,3,8,K02,17,15,impasse,4,12
2,3,8,K03,5,17,impasse,8,10
2,3,8,K04,15,19,impasse,4,6
2,3,8,K05,9,21,impasse,2,6
2,3,8,K06,23,21,impasse,8,10
2,3,8,K07,19,23,impasse,4,6
2,3,8,K08,13,29,impasse,2,5
2,3,8,K09,21,29,impasse,2,10
2,3,8,K10,9,31,impasse,4,8
2,4,9,K01,27,3,impasse,4,8
2,4,9,K02,7,5,impasse,4,22
2,4,9,K03,15,5,impasse,12,17
2,4,9,K04,3,11,impasse,6,8
2,4,9,K05,7,13,impasse,2,26
2,4,9,K06,1,19,impasse,8,14
2,4,9,K07,25,19,impasse,4,14
2,4,9,K08,33,19,impasse,2,22
2,4,9,K09,31,29,impasse,6,22
2,4,9,K10,19,31,impasse,2,12
2,5,10,K01,2,3,recoin,0,27
2,5,10,K02,1,7,recoin,0,22
2,5,10,K03,3,9,impasse,6,18
2,5,10,K04,3,13,recoin,0,30
2,5,10,K05,1,17,impasse,6,32
2,5,10,K06,5,23,impasse,2,18
2,5,10,K07,7,25,recoin,0,26
2,5,10,K08,13,25,impasse,4,6
2,5,10,K09,1,27,impasse,2,6
2,5,10,K10,15,31,recoin,0,12
3,1,11,K01,7,7,impasse,4,8
3,1,11,K02,17,7,impasse,4,26
3,1,11,K03,25,7,impasse,6,22
3,1,11,K04,3,9,impasse,4,10
3,1,11,K05,25,15,impasse,4,18
3,1,11,K06,31,19,impasse,4,16
3,1,11,K07,5,21,impasse,2,10
3,1,11,K08,17,21,impasse,4,12
3,1,11,K09,13,23,impasse,2,10
3,1,11,K10,25,27,impasse,4,6
3,2,12,K01,11,1,impasse,4,18
3,2,12,K02,25,1,impasse,6,8
3,2,12,K03,25,5,impasse,6,28
3,2,12,K04,21,15,impasse,6,14
3,2,12,K05,7,17,impasse,4,22
3,2,12,K06,11,17,impasse,6,30
3,2,12,K07,19,19,impasse,4,28
3,2,12,K08,21,27,impasse,4,22
3,2,12,K09,9,31,impasse,10,14
3,2,12,K10,23,33,impasse,8,16
3,3,13,K01,5,3,impasse,2,10
3,3,13,K02,3,7,impasse,2,12
3,3,13,K03,13,11,impasse,2,10
3,3,13,K04,21,11,impasse,6,8
3,3,13,K05,21,17,impasse,2,10
3,3,13,K06,9,21,impasse,4,36
3,3,13,K07,21,23,impasse,10,36
3,3,13,K08,1,25,impasse,2,8
